x_r y_r z_r a_r b_r c_r x_c y_c z_c a_c b_c c_c
0.703458 -0.433253 1.41779 1.5755 -0.0100531 -0.0161317 0.700341 -0.411023 1.40992 1.57109 -0.000290804 -3.47627e-05
0.703438 -0.43116 1.41789 1.57546 -0.0101968 -0.0165009 0.701127 -0.409082 1.41 1.57109 -9.32081e-05 -0.000191601
0.703456 -0.429108 1.41812 1.57575 -0.0104768 -0.0170821 0.700466 -0.405704 1.41 1.57095 -3.28371e-05 -3.39787e-05
0.703463 -0.427006 1.4182 1.57569 -0.0108427 -0.0171373 0.701106 -0.404047 1.40995 1.5712 -7.33698e-05 5.09756e-05
0.703514 -0.424906 1.41831 1.57557 -0.0112158 -0.0171491 0.700242 -0.400525 1.41012 1.57096 0.000133186 5.66674e-05
0.703546 -0.42265 1.41836 1.57531 -0.0114833 -0.0170485 0.701027 -0.39848 1.41003 1.57102 -4.63415e-05 3.9527e-05
0.703597 -0.420383 1.41849 1.57564 -0.01171 -0.0172881 0.700605 -0.395194 1.41007 1.57079 0.000104197 -2.18123e-05
0.703599 -0.418001 1.41848 1.57553 -0.0117377 -0.0172606 0.70118 -0.393436 1.40999 1.57113 4.14032e-05 -0.000133479
0.703618 -0.415658 1.41862 1.57571 -0.0118847 -0.0176852 0.700352 -0.390157 1.40986 1.5711 -0.000297312 -3.26789e-05
0.70363 -0.413294 1.41872 1.57568 -0.0120336 -0.0179015 0.701284 -0.387691 1.40996 1.57094 0.000114083 -4.50384e-05
0.703668 -0.411001 1.41886 1.57607 -0.0123384 -0.018118 0.700296 -0.384231 1.4101 1.57091 -9.65335e-05 8.6345e-05
0.703734 -0.408577 1.41891 1.57596 -0.0125643 -0.0180435 0.701077 -0.382274 1.41003 1.57113 -3.70992e-05 -6.59349e-06
0.703809 -0.406154 1.41899 1.57585 -0.0127752 -0.0180113 0.700658 -0.378604 1.41005 1.57078 0.000145645 -0.000101712
0.703849 -0.40359 1.41905 1.57562 -0.012886 -0.0179956 0.701281 -0.376669 1.40996 1.57113 6.55267e-05 -0.000121487
0.703827 -0.401137 1.41917 1.57583 -0.0130231 -0.0183268 0.700161 -0.372908 1.41008 1.57101 -0.000130712 6.5555e-05
0.703813 -0.398627 1.41922 1.57578 -0.0131406 -0.018405 0.701231 -0.370568 1.41006 1.57097 0.000131471 -1.74957e-05
0.70382 -0.396175 1.41936 1.57607 -0.0133408 -0.0186611 0.700436 -0.366875 1.41003 1.57085 -9.60215e-05 7.56158e-05
0.703834 -0.393556 1.41941 1.57573 -0.0133433 -0.0185426 0.70109 -0.364639 1.40999 1.57106 -5.32478e-05 -1.03225e-05
0.703836 -0.390997 1.41945 1.57552 -0.0135019 -0.0186192 0.700651 -0.360917 1.41004 1.57077 0.000124335 -5.59254e-05
0.703795 -0.388338 1.41947 1.57519 -0.0135769 -0.0186025 0.700383 -0.357886 1.41011 1.5709 -8.19839e-05 0.000171896
0.703763 -0.38576 1.41951 1.57522 -0.0137305 -0.0186949 0.701161 -0.355685 1.41003 1.57111 -4.93394e-05 -4.54613e-05
0.70378 -0.382975 1.41948 1.57524 -0.013728 -0.0184556 0.700666 -0.35172 1.41002 1.57077 0.000140428 -0.000115408
0.703783 -0.380208 1.41949 1.57543 -0.0137986 -0.0183253 0.700383 -0.348601 1.41011 1.57089 -9.42298e-05 0.000158543
0.703789 -0.377535 1.41957 1.57578 -0.0139443 -0.0185224 0.701193 -0.346301 1.41004 1.5711 -8.68267e-05 -3.8129e-05
0.703826 -0.374678 1.41961 1.57526 -0.0140136 -0.0184464 0.700417 -0.342322 1.40985 1.57091 -5.90043e-05 -3.80863e-05
0.703839 -0.371861 1.41954 1.57503 -0.0141027 -0.0180779 0.701262 -0.33971 1.40996 1.571 -0.000120198 5.56794e-05
0.70382 -0.369082 1.4195 1.57536 -0.0141749 -0.0181651 0.700231 -0.335911 1.41015 1.57094 3.32166e-05 4.94944e-05
0.703817 -0.366198 1.41942 1.57535 -0.0141995 -0.018106 0.701091 -0.333273 1.41003 1.57105 -1.73546e-05 2.42908e-05
0.703865 -0.3634 1.41936 1.57506 -0.0143525 -0.017645 0.700526 -0.329308 1.41004 1.57082 -6.9439e-05 4.32585e-05
0.7039 -0.360474 1.4193 1.5747 -0.0143019 -0.0170555 0.701217 -0.326696 1.40997 1.57101 -0.000111585 4.64769e-05
0.703887 -0.357577 1.41931 1.57455 -0.0142991 -0.0171558 0.700249 -0.322893 1.41003 1.57097 0.000164959 -1.78067e-05
0.703833 -0.354574 1.41923 1.57423 -0.0142182 -0.0172157 0.701174 -0.320078 1.41001 1.57103 -5.01646e-05 3.49163e-05
0.703867 -0.351602 1.41921 1.57453 -0.0142283 -0.0171794 0.70063 -0.316054 1.41 1.57079 0.000101266 6.13434e-06
0.70391 -0.348541 1.41912 1.57453 -0.0141644 -0.0166657 0.700499 -0.312715 1.41007 1.57088 -1.19726e-05 0.000200606
0.703935 -0.345564 1.41903 1.57446 -0.014168 -0.016408 0.70121 -0.309924 1.40999 1.57101 -0.000106739 5.52575e-05
0.703945 -0.342422 1.41896 1.57392 -0.0140345 -0.0161365 0.700321 -0.306038 1.41 1.57095 0.000202029 -3.81366e-05
0.703943 -0.339257 1.41883 1.57401 -0.0139921 -0.0157493 0.701214 -0.30312 1.41 1.57103 -5.76343e-05 3.40077e-05
0.703956 -0.336171 1.41879 1.57428 -0.014014 -0.0156814 0.700623 -0.299013 1.40999 1.5708 0.000133376 2.35599e-06
0.703985 -0.332927 1.41868 1.57445 -0.0138335 -0.0154485 0.7005 -0.29557 1.41007 1.57088 -1.26197e-05 0.000202744
0.704011 -0.329849 1.41862 1.57439 -0.0138564 -0.0153032 0.701209 -0.292677 1.41 1.57102 -9.98206e-05 5.2939e-05
0.70403 -0.326659 1.41855 1.57379 -0.0137746 -0.0148845 0.700436 -0.288696 1.40998 1.5709 0.000235534 -5.10131e-05
0.70402 -0.32344 1.41841 1.57355 -0.0137356 -0.0143722 0.700539 -0.28506 1.41008 1.57086 -2.68649e-05 0.000166568
0.704023 -0.320269 1.41837 1.57364 -0.0137652 -0.0144077 0.701225 -0.282117 1.41 1.57101 -0.000103619 5.9346e-05
0.703996 -0.316975 1.41829 1.5737 -0.0135886 -0.0142171 0.700388 -0.278114 1.40998 1.57092 0.000215223 -4.91367e-05
0.704048 -0.313648 1.41815 1.57378 -0.0135126 -0.0136578 0.701236 -0.275052 1.41001 1.57103 -6.12167e-05 3.60242e-05
0.704027 -0.310453 1.41808 1.57381 -0.0135095 -0.0135944 0.700618 -0.270845 1.40998 1.57081 0.000141478 8.41258e-06
0.703972 -0.307148 1.41801 1.57346 -0.0133516 -0.0136582 0.700382 -0.267642 1.40987 1.57113 -2.68468e-06 0.000100968
0.704056 -0.303815 1.41796 1.5735 -0.0132609 -0.0134976 0.701308 -0.264278 1.41 1.57103 -6.72445e-05 4.95899e-05
0.704093 -0.300401 1.41779 1.57335 -0.0130408 -0.0128069 0.700587 -0.260071 1.40997 1.57083 0.000180824 -2.24446e-06
0.704108 -0.296962 1.41759 1.57364 -0.012806 -0.0122781 0.700387 -0.256802 1.40988 1.57113 -1.53706e-06 9.62983e-05
0.704141 -0.293557 1.41739 1.57368 -0.0126645 -0.0119983 0.701301 -0.253383 1.41001 1.57102 -7.18724e-05 5.62189e-05
0.704136 -0.290142 1.41726 1.57337 -0.0124676 -0.0116777 0.700573 -0.249184 1.40997 1.57084 0.000191089 -6.97285e-06
0.704176 -0.286676 1.41706 1.57338 -0.0122918 -0.0110908 0.700387 -0.245859 1.40989 1.57112 -3.00645e-06 9.08639e-05
0.704187 -0.28336 1.41689 1.57328 -0.0122512 -0.0107892 0.701289 -0.242395 1.41003 1.57102 -7.52532e-05 6.35524e-05
0.704176 -0.279934 1.41672 1.57285 -0.0119864 -0.010443 0.700562 -0.238208 1.40997 1.57085 0.000195712 -9.87383e-06
0.704205 -0.27642 1.41652 1.5731 -0.0118245 -0.00989663 0.700386 -0.234833 1.40989 1.57111 -5.66625e-06 8.56212e-05
0.704245 -0.273042 1.41636 1.5729 -0.0117273 -0.00943166 0.701273 -0.231329 1.41004 1.57101 -7.7524e-05 7.14502e-05
0.704244 -0.269506 1.41622 1.57252 -0.0114897 -0.00915088 0.700553 -0.227158 1.40997 1.57086 0.000196491 -1.11583e-05
0.704211 -0.265985 1.41598 1.57255 -0.0112657 -0.00867956 0.700386 -0.223741 1.4099 1.5711 -9.02868e-06 8.0811e-05
0.704249 -0.262502 1.41587 1.5728 -0.011141 -0.0084238 0.701255 -0.220204 1.41006 1.57101 -7.88477e-05 7.97475e-05
0.704246 -0.25889 1.4157 1.5728 -0.0107818 -0.00801011 0.700547 -0.216051 1.40997 1.57087 0.000194629 -1.10106e-05
0.704248 -0.255252 1.41551 1.5728 -0.0105371 -0.00767793 0.701374 -0.212899 1.41007 1.57104 7.52346e-05 6.22484e-05
0.704281 -0.251664 1.41535 1.57296 -0.0103128 -0.00744031 0.70061 -0.208541 1.40997 1.57085 9.35472e-05 6.69399e-05
0.704321 -0.248025 1.41518 1.57275 -0.010023 -0.00704072 0.700392 -0.205172 1.4099 1.5711 -1.56681e-05 7.83129e-05
0.704419 -0.244451 1.41506 1.57291 -0.00986804 -0.00665535 0.701227 -0.201585 1.41008 1.57101 -7.45705e-05 8.71641e-05
0.704419 -0.240825 1.41482 1.57267 -0.00957025 -0.00605696 0.700559 -0.19744 1.40998 1.57087 0.000178893 4.39793e-06
0.704396 -0.237171 1.41459 1.57269 -0.00922551 -0.00566018 0.701341 -0.194251 1.4101 1.57104 7.17391e-05 6.05365e-05
0.704402 -0.233585 1.41442 1.57258 -0.00907596 -0.00540308 0.700585 -0.189926 1.40998 1.57086 8.86427e-05 6.77931e-05
0.70441 -0.229931 1.41422 1.57253 -0.00874688 -0.00498739 0.700394 -0.186526 1.40992 1.57108 -2.09025e-05 7.33175e-05
0.704504 -0.226257 1.41411 1.57263 -0.00846962 -0.00470598 0.701189 -0.182906 1.41011 1.571 -7.52596e-05 0.000103518
0.704487 -0.22257 1.41391 1.57231 -0.00815684 -0.00432071 0.700547 -0.178821 1.40999 1.57088 0.000173457 5.69945e-06
0.70448 -0.218879 1.41366 1.57242 -0.00780721 -0.00382412 0.701293 -0.175592 1.41013 1.57104 6.93555e-05 6.45016e-05
0.704544 -0.215146 1.41349 1.57262 -0.00753563 -0.00336458 0.700548 -0.171315 1.40999 1.57087 8.00352e-05 6.50447e-05
0.704566 -0.211441 1.4133 1.57273 -0.00716419 -0.00290243 0.701231 -0.168149 1.41013 1.57105 7.29794e-05 6.90294e-05
0.704625 -0.207682 1.41322 1.57297 -0.00690344 -0.00281191 0.700527 -0.16389 1.41 1.57088 7.30223e-05 6.36645e-05
0.704589 -0.203944 1.41304 1.57294 -0.00655485 -0.00263078 0.701196 -0.160717 1.41014 1.57105 7.21421e-05 7.50095e-05
0.704623 -0.200223 1.41293 1.57294 -0.00621847 -0.00240605 0.700575 -0.156608 1.40983 1.57099 -0.000113051 0.000118676
0.704636 -0.196401 1.41272 1.57302 -0.00581198 -0.00188649 0.701294 -0.15331 1.41018 1.57093 0.000294484 -0.000218154
0.704649 -0.192747 1.41253 1.57315 -0.00555122 -0.00155334 0.700553 -0.149295 1.40986 1.57098 -0.000234573 5.12664e-06
0.704606 -0.189034 1.41233 1.57318 -0.00524276 -0.00136583 0.701324 -0.145904 1.41017 1.57102 -8.58773e-06 -4.78507e-06
0.704615 -0.185373 1.41219 1.57336 -0.00494279 -0.00124206 0.700658 -0.141778 1.40984 1.57091 2.94443e-05 4.22412e-05
0.704626 -0.181717 1.412 1.57319 -0.00466252 -0.000759794 0.701235 -0.138601 1.41008 1.57108 7.88049e-05 7.51429e-05
